episode,episode_order,speaker,utterance,lower_case,cleaned_text,stemmed_text
57264,19,"NEAL CONAN, host","Hi, John.","hi, john.",hi john,hi john
57264,20,JOHN (Caller),"Yeah, the bicycle - or the Tour de France for me is just kind of the ultimate extension of what can be done with the bicycle. The bicycle is the most efficient form of transportation as far as energy spent for a single human being. And to me, the tour is just - takes it to the utmost what can - or what are the outer limits of what one man can do with this machine. It kind of puts it all at the very top limit of what's possible.","yeah, the bicycle - or the tour de france for me is just kind of the ultimate extension of what can be done with the bicycle. the bicycle is the most efficient form of transportation as far as energy spent for a single human being. and to me, the tour is just - takes it to the utmost what can - or what are the outer limits of what one man can do with this machine. it kind of puts it all at the very top limit of what's possible.",yeah the bicycle  or the tour de france for me is just kind of the ultimate extension of what can be done with the bicycle the bicycle is the most efficient form of transportation as far as energy spent for a single human being and to me the tour is just  takes it to the utmost what can  or what are the outer limits of what one man can do with this machine it kind of puts it all at the very top limit of whats possible,yeah the bicycl  or the tour de franc for me is just kind of the ultim extens of what can be done with the bicycl the bicycl is the most effici form of transport as far as energi spent for a singl human be and to me the tour is just  take it to the utmost what can  or what are the outer limit of what one man can do with thi machin it kind of put it all at the veri top limit of what possibl
57264,21,"NEAL CONAN, host","The ultimate expression - the training that you have to do for this, John, though is pretty ferocious.","the ultimate expression - the training that you have to do for this, john, though is pretty ferocious.",the ultimate expression  the training that you have to do for this john though is pretty ferocious,the ultim express  the train that you have to do for thi john though is pretti feroci
57264,22,JOHN (Caller),"That also. But if you try to think of how long it would take anyone to cover the same distance by foot or the amount of energy spent in any other way for these guys to go 3,000 miles in three weeks, it's kind of unfathomable without the machine itself.","that also. but if you try to think of how long it would take anyone to cover the same distance by foot or the amount of energy spent in any other way for these guys to go 3,000 miles in three weeks, it's kind of unfathomable without the machine itself.",that also but if you try to think of how long it would take anyone to cover the same distance by foot or the amount of energy spent in any other way for these guys to go 3000 miles in three weeks its kind of unfathomable without the machine itself,that also but if you tri to think of how long it would take anyon to cover the same distanc by foot or the amount of energi spent in ani other way for these guy to go 3000 mile in three week it kind of unfathom without the machin itself
57264,23,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","That's true. It's interesting, too, these guys, they are very efficient in their energy use. But the amount of energy that they're using for human capacity can be fairly stunning. These guys are burning anywhere between six and 9,000 calories every day just to move their bicycles over the terrain. Nine thousand calories is the upper limits on some of those more difficult mountain stages. And that's more than the average American should eat in four-plus days to give you some sense of scale. These guys turn into very high-burning engines, if you will.","that's true. it's interesting, too, these guys, they are very efficient in their energy use. but the amount of energy that they're using for human capacity can be fairly stunning. these guys are burning anywhere between six and 9,000 calories every day just to move their bicycles over the terrain. nine thousand calories is the upper limits on some of those more difficult mountain stages. and that's more than the average american should eat in four-plus days to give you some sense of scale. these guys turn into very high-burning engines, if you will.",thats true its interesting too these guys they are very efficient in their energy use but the amount of energy that theyre using for human capacity can be fairly stunning these guys are burning anywhere between six and 9000 calories every day just to move their bicycles over the terrain nine thousand calories is the upper limits on some of those more difficult mountain stages and thats more than the average american should eat in fourplus days to give you some sense of scale these guys turn into very highburning engines if you will,that true it interest too these guy they are veri effici in their energi use but the amount of energi that theyr use for human capac can be fairli stun these guy are burn anywher between six and 9000 calori everi day just to move their bicycl over the terrain nine thousand calori is the upper limit on some of those more difficult mountain stage and that more than the averag american should eat in fourplu day to give you some sens of scale these guy turn into veri highburn engin if you will
57264,24,"NEAL CONAN, host","In other words, don't invite them out to dinner.","in other words, don't invite them out to dinner.",in other words dont invite them out to dinner,in other word dont invit them out to dinner
57264,25,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","Yeah. You'd be - if you have to pick up the tab, you'd be in some trouble for sure.","yeah. you'd be - if you have to pick up the tab, you'd be in some trouble for sure.",yeah youd be  if you have to pick up the tab youd be in some trouble for sure,yeah youd be  if you have to pick up the tab youd be in some troubl for sure
57264,26,"NEAL CONAN, host","John, thanks very much for the call.","john, thanks very much for the call.",john thanks very much for the call,john thank veri much for the call
57264,27,JOHN (Caller),Thank you.,thank you.,thank you,thank you
57264,28,"NEAL CONAN, host","Bye-bye. There is also, as we mentioned, the training. But one of the aspects of the race that seems to startle a lot of people is they're riding through these little towns in France, for the most part, and people are standing right by the roadsides. There's no barriers. They just reach out and touch them, and sometimes they do.","bye-bye. there is also, as we mentioned, the training. but one of the aspects of the race that seems to startle a lot of people is they're riding through these little towns in france, for the most part, and people are standing right by the roadsides. there's no barriers. they just reach out and touch them, and sometimes they do.",byebye there is also as we mentioned the training but one of the aspects of the race that seems to startle a lot of people is theyre riding through these little towns in france for the most part and people are standing right by the roadsides theres no barriers they just reach out and touch them and sometimes they do,byeby there is also as we mention the train but one of the aspect of the race that seem to startl a lot of peopl is theyr ride through these littl town in franc for the most part and peopl are stand right by the roadsid there no barrier they just reach out and touch them and sometim they do
57264,29,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","That's right. One of the very cool things about the sport is it does give the public a chance to really go face to face with the riders on the roadway. Sometimes on those steep climbs, you'll see just walls of people almost blocking the road and then moving back at the last second to let the riders slip through. Given the access that the fans have - and there can be, you know, hundreds of thousands, close to a million people on some of these larger mountainsides - it is remarkable that there's not more interference from fans.","that's right. one of the very cool things about the sport is it does give the public a chance to really go face to face with the riders on the roadway. sometimes on those steep climbs, you'll see just walls of people almost blocking the road and then moving back at the last second to let the riders slip through. given the access that the fans have - and there can be, you know, hundreds of thousands, close to a million people on some of these larger mountainsides - it is remarkable that there's not more interference from fans.",thats right one of the very cool things about the sport is it does give the public a chance to really go face to face with the riders on the roadway sometimes on those steep climbs youll see just walls of people almost blocking the road and then moving back at the last second to let the riders slip through given the access that the fans have  and there can be you know hundreds of thousands close to a million people on some of these larger mountainsides  it is remarkable that theres not more interference from fans,that right one of the veri cool thing about the sport is it doe give the public a chanc to realli go face to face with the rider on the roadway sometim on those steep climb youll see just wall of peopl almost block the road and then move back at the last second to let the rider slip through given the access that the fan have  and there can be you know hundr of thousand close to a million peopl on some of these larger mountainsid  it is remark that there not more interfer from fan
57264,30,"NEAL CONAN, host","Let's go next to Marshall(ph), Marshall with us from Holland, Michigan.","let's go next to marshall(ph), marshall with us from holland, michigan.",lets go next to marshallph marshall with us from holland michigan,let go next to marshallph marshal with us from holland michigan
57264,31,MARSHALL (Caller),"Hello. The reason I watch the Tour de France is because this is the best time for a cyclist like myself, an amateur racer, to enjoy top-notch live coverage. Otherwise, it's all by magazines or over the Internet.","hello. the reason i watch the tour de france is because this is the best time for a cyclist like myself, an amateur racer, to enjoy top-notch live coverage. otherwise, it's all by magazines or over the internet.",hello the reason i watch the tour de france is because this is the best time for a cyclist like myself an amateur racer to enjoy topnotch live coverage otherwise its all by magazines or over the internet,hello the reason i watch the tour de franc is becaus thi is the best time for a cyclist like myself an amateur racer to enjoy topnotch live coverag otherwis it all by magazin or over the internet
57264,32,"NEAL CONAN, host","The magazines are, of course, brilliant.","the magazines are, of course, brilliant.",the magazines are of course brilliant,the magazin are of cours brilliant
57264,33,MARSHALL (Caller),Pardon?,pardon?,pardon,pardon
57264,34,"NEAL CONAN, host",The magazines are brilliant.,the magazines are brilliant.,the magazines are brilliant,the magazin are brilliant
57264,35,MARSHALL (Caller),"Magazines are brilliant, and I do have a subscription to Bicycling Magazine.","magazines are brilliant, and i do have a subscription to bicycling magazine.",magazines are brilliant and i do have a subscription to bicycling magazine,magazin are brilliant and i do have a subscript to bicycl magazin
57264,36,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","Oh, okay.","oh, okay.",oh okay,oh okay
57264,37,MARSHALL (Caller),"But it's the best because you have every type of racing that you can enjoy. You have the mountains. You have sprinting. And you have time trials. So no matter what kind of cyclist you are, you get to watch all the world's greatest cyclists in one, you know, one three-week race. And it's the best. It's - I devour it every night and find excuses to be at home during the day to watch it live.","but it's the best because you have every type of racing that you can enjoy. you have the mountains. you have sprinting. and you have time trials. so no matter what kind of cyclist you are, you get to watch all the world's greatest cyclists in one, you know, one three-week race. and it's the best. it's - i devour it every night and find excuses to be at home during the day to watch it live.",but its the best because you have every type of racing that you can enjoy you have the mountains you have sprinting and you have time trials so no matter what kind of cyclist you are you get to watch all the worlds greatest cyclists in one you know one threeweek race and its the best its  i devour it every night and find excuses to be at home during the day to watch it live,but it the best becaus you have everi type of race that you can enjoy you have the mountain you have sprint and you have time trial so no matter what kind of cyclist you are you get to watch all the world greatest cyclist in one you know one threeweek race and it the best it  i devour it everi night and find excus to be at home dure the day to watch it live
57264,38,"NEAL CONAN, host","One of interesting things, Marshall, that I find is the races within the races. So you have races that are sprints and people competing for the sprint championship, and then races within the mountains and people competing to be the King of the Mountains.","one of interesting things, marshall, that i find is the races within the races. so you have races that are sprints and people competing for the sprint championship, and then races within the mountains and people competing to be the king of the mountains.",one of interesting things marshall that i find is the races within the races so you have races that are sprints and people competing for the sprint championship and then races within the mountains and people competing to be the king of the mountains,one of interest thing marshal that i find is the race within the race so you have race that are sprint and peopl compet for the sprint championship and then race within the mountain and peopl compet to be the king of the mountain
57264,39,MARSHALL (Caller),"Those are great because it actually allows you to pay attention on individual stages more so than the overall. While the overall is the top prize, the King of the Mountains and the sprint's jersey, even the young rider jersey, which is the white jersey, are prized. And among sprinters, which is my favorite competition, that's awesome because the speed that they hit, 45, 47, almost 50 kilometers an hour for huge amount of wattage, it's just amazing.","those are great because it actually allows you to pay attention on individual stages more so than the overall. while the overall is the top prize, the king of the mountains and the sprint's jersey, even the young rider jersey, which is the white jersey, are prized. and among sprinters, which is my favorite competition, that's awesome because the speed that they hit, 45, 47, almost 50 kilometers an hour for huge amount of wattage, it's just amazing.",those are great because it actually allows you to pay attention on individual stages more so than the overall while the overall is the top prize the king of the mountains and the sprints jersey even the young rider jersey which is the white jersey are prized and among sprinters which is my favorite competition thats awesome because the speed that they hit 45 47 almost 50 kilometers an hour for huge amount of wattage its just amazing,those are great becaus it actual allow you to pay attent on individu stage more so than the overal while the overal is the top prize the king of the mountain and the sprint jersey even the young rider jersey which is the white jersey are prize and among sprinter which is my favorit competit that awesom becaus the speed that they hit 45 47 almost 50 kilomet an hour for huge amount of wattag it just amaz
57264,40,"NEAL CONAN, host","Hmm. Marshall, thanks very much for the phone call. Appreciate it.","hmm. marshall, thanks very much for the phone call. appreciate it.",hmm marshall thanks very much for the phone call appreciate it,hmm marshal thank veri much for the phone call appreci it
57264,41,MARSHALL (Caller),You bet.,you bet.,you bet,you bet
57264,42,"NEAL CONAN, host","The jerseys, he mentioned, of course, the yellow jersey is the overall leader, but the other categories have all jerseys of their own, Loren Mooney.","the jerseys, he mentioned, of course, the yellow jersey is the overall leader, but the other categories have all jerseys of their own, loren mooney.",the jerseys he mentioned of course the yellow jersey is the overall leader but the other categories have all jerseys of their own loren mooney,the jersey he mention of cours the yellow jersey is the overal leader but the other categori have all jersey of their own loren mooney
57264,43,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","Yeah, that's right. The yellow jersey, the overall leader, and that is the rider with the lowest cumulative time at the end of the three weeks. The green sprinter's jersey, determined by points, often who has the best sprint at the end. But there are also some intermediate sprints during some stages. The polka dot jersey is for the best mountain climber. And the white jersey is for the best rider 25 years of age or under.","yeah, that's right. the yellow jersey, the overall leader, and that is the rider with the lowest cumulative time at the end of the three weeks. the green sprinter's jersey, determined by points, often who has the best sprint at the end. but there are also some intermediate sprints during some stages. the polka dot jersey is for the best mountain climber. and the white jersey is for the best rider 25 years of age or under.",yeah thats right the yellow jersey the overall leader and that is the rider with the lowest cumulative time at the end of the three weeks the green sprinters jersey determined by points often who has the best sprint at the end but there are also some intermediate sprints during some stages the polka dot jersey is for the best mountain climber and the white jersey is for the best rider 25 years of age or under,yeah that right the yellow jersey the overal leader and that is the rider with the lowest cumul time at the end of the three week the green sprinter jersey determin by point often who ha the best sprint at the end but there are also some intermedi sprint dure some stage the polka dot jersey is for the best mountain climber and the white jersey is for the best rider 25 year of age or under
57264,44,"NEAL CONAN, host","Let's go next to Rick(ph), Rick with us from Denver.","let's go next to rick(ph), rick with us from denver.",lets go next to rickph rick with us from denver,let go next to rickph rick with us from denver
57264,45,RICK (Caller),Hello. How are you today?,hello. how are you today?,hello how are you today,hello how are you today
57264,46,"NEAL CONAN, host","Good, thanks.","good, thanks.",good thanks,good thank
57264,47,RICK (Caller),"Great. Hey, I just - I love hearing a show about the Tour de France and I truly love watching it. And as a former cyclist, I spent four years after high school, before I started college, racing bikes. But I would propose that there are two reasons why people love watching the tour, and I'd love to hear your guest's comments on these. Number one is the cinematography is incredible. I mean, you really - you don't just watch a bike race when you watch the tour each morning. You get a chance to see some of the most beautiful scenery. And just the way they present it on TV, it's much more than just a sporting event.","great. hey, i just - i love hearing a show about the tour de france and i truly love watching it. and as a former cyclist, i spent four years after high school, before i started college, racing bikes. but i would propose that there are two reasons why people love watching the tour, and i'd love to hear your guest's comments on these. number one is the cinematography is incredible. i mean, you really - you don't just watch a bike race when you watch the tour each morning. you get a chance to see some of the most beautiful scenery. and just the way they present it on tv, it's much more than just a sporting event.",great hey i just  i love hearing a show about the tour de france and i truly love watching it and as a former cyclist i spent four years after high school before i started college racing bikes but i would propose that there are two reasons why people love watching the tour and id love to hear your guests comments on these number one is the cinematography is incredible i mean you really  you dont just watch a bike race when you watch the tour each morning you get a chance to see some of the most beautiful scenery and just the way they present it on tv its much more than just a sporting event,great hey i just  i love hear a show about the tour de franc and i truli love watch it and as a former cyclist i spent four year after high school befor i start colleg race bike but i would propos that there are two reason whi peopl love watch the tour and id love to hear your guest comment on these number one is the cinematographi is incred i mean you realli  you dont just watch a bike race when you watch the tour each morn you get a chanc to see some of the most beauti sceneri and just the way they present it on tv it much more than just a sport event
57264,48,RICK (Caller),"And the second reason I would propose people love watching the Tour de France is Mr. Phil Liggett. It's - the British gentleman who speaks to us each morning, not just about the race and the current riders whom he seems to know each one of them personally, but about the history of the race, the history of France, the history of cycling, the history of whatever you like. Phil just seems to have so many stories that fill what is a very long day.","and the second reason i would propose people love watching the tour de france is mr. phil liggett. it's - the british gentleman who speaks to us each morning, not just about the race and the current riders whom he seems to know each one of them personally, but about the history of the race, the history of france, the history of cycling, the history of whatever you like. phil just seems to have so many stories that fill what is a very long day.",and the second reason i would propose people love watching the tour de france is mr phil liggett its  the british gentleman who speaks to us each morning not just about the race and the current riders whom he seems to know each one of them personally but about the history of the race the history of france the history of cycling the history of whatever you like phil just seems to have so many stories that fill what is a very long day,and the second reason i would propos peopl love watch the tour de franc is mr phil liggett it  the british gentleman who speak to us each morn not just about the race and the current rider whom he seem to know each one of them person but about the histori of the race the histori of franc the histori of cycl the histori of whatev you like phil just seem to have so mani stori that fill what is a veri long day
57264,49,RICK (Caller),"I mean, these races on television are quite long. And yet, you never get bored because each time he starts speaking he's got another little tidbit to share with you. So...","i mean, these races on television are quite long. and yet, you never get bored because each time he starts speaking he's got another little tidbit to share with you. so...",i mean these races on television are quite long and yet you never get bored because each time he starts speaking hes got another little tidbit to share with you so,i mean these race on televis are quit long and yet you never get bore becaus each time he start speak he got anoth littl tidbit to share with you so
57264,50,"NEAL CONAN, host",Well...,well...,well,well
57264,51,RICK (Caller),...I find that the cinematography and Phil just leave me gripped to the TV.,...i find that the cinematography and phil just leave me gripped to the tv.,i find that the cinematography and phil just leave me gripped to the tv,i find that the cinematographi and phil just leav me grip to the tv
57264,52,"NEAL CONAN, host","I thought this call originally from the French Ministry of Tourism. But it turns out, of course, he was publicity department at Versus, so...","i thought this call originally from the french ministry of tourism. but it turns out, of course, he was publicity department at versus, so...",i thought this call originally from the french ministry of tourism but it turns out of course he was publicity department at versus so,i thought thi call origin from the french ministri of tourism but it turn out of cours he wa public depart at versu so
57264,53,RICK (Caller),"Well, I would love to know what your guest thinks of my proposal that those are two reasons why people continue to watch the tour despite many of the troubles that the athletes seem to create for themselves.","well, i would love to know what your guest thinks of my proposal that those are two reasons why people continue to watch the tour despite many of the troubles that the athletes seem to create for themselves.",well i would love to know what your guest thinks of my proposal that those are two reasons why people continue to watch the tour despite many of the troubles that the athletes seem to create for themselves,well i would love to know what your guest think of my propos that those are two reason whi peopl continu to watch the tour despit mani of the troubl that the athlet seem to creat for themselv
57264,54,"NEAL CONAN, host",Loren?,loren?,loren,loren
57264,55,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","Yeah. I think that's right, particularly with the scenery of France. It is a true tour of the country. The route changes each year. Some years, it goes in a counterclockwise circle around France. This year going clockwise, where it's hitting the Alps mountains before the Pyrenees. And you're seeing tiny villages. You're seeing just breathtaking mountainscapes. You go into the Pyrenees, you see the Basque flags and the fans wearing orange, cheering.","yeah. i think that's right, particularly with the scenery of france. it is a true tour of the country. the route changes each year. some years, it goes in a counterclockwise circle around france. this year going clockwise, where it's hitting the alps mountains before the pyrenees. and you're seeing tiny villages. you're seeing just breathtaking mountainscapes. you go into the pyrenees, you see the basque flags and the fans wearing orange, cheering.",yeah i think thats right particularly with the scenery of france it is a true tour of the country the route changes each year some years it goes in a counterclockwise circle around france this year going clockwise where its hitting the alps mountains before the pyrenees and youre seeing tiny villages youre seeing just breathtaking mountainscapes you go into the pyrenees you see the basque flags and the fans wearing orange cheering,yeah i think that right particularli with the sceneri of franc it is a true tour of the countri the rout chang each year some year it goe in a counterclockwis circl around franc thi year go clockwis where it hit the alp mountain befor the pyrene and your see tini villag your see just breathtak mountainscap you go into the pyrene you see the basqu flag and the fan wear orang cheer
57264,56,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","And also, the cinematography that they're using at this point is outstanding. You're seeing not only the wide shots from helicopters, but these cameramen on motorbikes within the race are the true daredevils of the race. They get some amazing footage.","and also, the cinematography that they're using at this point is outstanding. you're seeing not only the wide shots from helicopters, but these cameramen on motorbikes within the race are the true daredevils of the race. they get some amazing footage.",and also the cinematography that theyre using at this point is outstanding youre seeing not only the wide shots from helicopters but these cameramen on motorbikes within the race are the true daredevils of the race they get some amazing footage,and also the cinematographi that theyr use at thi point is outstand your see not onli the wide shot from helicopt but these cameramen on motorbik within the race are the true daredevil of the race they get some amaz footag
57264,57,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","You're also seeing in some of the sprint stages now, they have a camera that goes alongside the racers at upwards of 50 miles an hour, sometimes at the very end to see the very last rocket ship efforts of the sprinters. So really covering it from all angles, again, getting up close, getting into the riders' faces at the moment of the action is pretty remarkable stuff.","you're also seeing in some of the sprint stages now, they have a camera that goes alongside the racers at upwards of 50 miles an hour, sometimes at the very end to see the very last rocket ship efforts of the sprinters. so really covering it from all angles, again, getting up close, getting into the riders' faces at the moment of the action is pretty remarkable stuff.",youre also seeing in some of the sprint stages now they have a camera that goes alongside the racers at upwards of 50 miles an hour sometimes at the very end to see the very last rocket ship efforts of the sprinters so really covering it from all angles again getting up close getting into the riders faces at the moment of the action is pretty remarkable stuff,your also see in some of the sprint stage now they have a camera that goe alongsid the racer at upward of 50 mile an hour sometim at the veri end to see the veri last rocket ship effort of the sprinter so realli cover it from all angl again get up close get into the rider face at the moment of the action is pretti remark stuff
57264,58,"NEAL CONAN, host","Rick, thanks very much for the call.","rick, thanks very much for the call.",rick thanks very much for the call,rick thank veri much for the call
57264,59,RICK (Caller),Thank you.,thank you.,thank you,thank you
57264,60,"NEAL CONAN, host","The current issue of Bicycling Magazine offers a 2010 Tour de France fans guide. Its editor-in-chief, Loren Mooney, is with us. You're listening to TALK OF THE NATION from NPR News.","the current issue of bicycling magazine offers a 2010 tour de france fans guide. its editor-in-chief, loren mooney, is with us. you're listening to talk of the nation from npr news.",the current issue of bicycling magazine offers a 2010 tour de france fans guide its editorinchief loren mooney is with us youre listening to talk of the nation from npr news,the current issu of bicycl magazin offer a 2010 tour de franc fan guid it editorinchief loren mooney is with us your listen to talk of the nation from npr news
